could,pourrait,580
council,conseil,30
counsel,Conseil,172
count,compter,577
counterfeit,contrefaire,0
countess,comtesse,0
country,pays,0
courage,courage,271
course,cours,252
court,tribunal,429
courtesy,courtoisie,0
cousin,cousin,243
coward,lâche,143
crave,demander,70
creature,créature,107
credit,crédit,72
cromwell,Cromwell,0
cross,traverser,120
crown,couronne,376
cruel,cruel,98
cunning,ruse,78
cupid,Cupidon,0
curse,malédiction,173
custom,Douane,70
dagger,dague,57
damned,damné,43
dance,Danse,101
danger,danger,0
darkness,obscurité,37
daughter,fille,478
deadly,mortel,50
dearest,très cher,56
dearly,chèrement,40
death,décès,864
deeds,actes,118
defend,défendre,82
degree,diplôme,62
delight,délice,83
deliver,livrer,175
demand,demande,150
denied,refusé,52
depart,partir,94
desert,désert,65
deserve,mériter,120
desire,le désir,288
despair,désespoir,51
desperate,désespéré,54
despite,malgré,49
device,dispositif,49
devil,diable,279
devise,concevoir,53
didst,didst,145
dinner,dîner,93
discourse,discours,0
discover,découvrir,72
disgrace,disgrâce,55
dishonour,déshonorer,66
dispatch,envoi,76
displeasure,mécontentement,43
disposition,disposition,51
distributed,distribué,2
divine,Divin,56
doctor,docteur,40
doing,Faire,78
dolabella,Dolabella,0
doors,des portes,61
double,double,119
doubt,doute,236
download,Télécharger,0
dramatis,dramatis,0
drawn,tiré,86
dread,crainte,117
dreadful,horrible,0
dream,rêver,197
dreams,rêves,0
drink,boisson,194
drops,gouttes,56
drown,noyer,102
drums,tambours,37
drunk,ivre,111
duncan,Duncan,0
durst,durst,45
dwell,habiter,70
dying,en train de mourir,49
early,de bonne heure,58
earth,Terre,368
edmund,Edmund,0
effect,effet,112
egypt,Egypte,0
either,Soit,296
elbow,coude,22
elder,aîné,50
embrace,embrasse,76
emilia,Émilie,3
emperor,empereur,17
empty,vide,51
encounter,rencontre,0
endure,supporter,78
enemies,ennemis,111
enemy,ennemi,167
enjoy,prendre plaisir,64
enobarbus,énobarbus,0
enough,assez,282
enter,entrer,584
entertain,divertir,0
entertainment,divertissement,0
entreat,supplier,153
equal,égal,66
estate,biens,58
eternal,éternel,38
every,chaque,511
everything,tout,0
excellent,excellent,104
except,sauf,38
excuse,excuse,78
execution,exécution,62
exeter,Exeter,0
exeunt,sortir,7
express,Express,65
faces,visages,53
faint,perdre connaissance,70
fairy,Fée,41
faith,Foi,368
falls,des chutes,67
false,faux,327
familiar,familier,44
fancy,fantaisie,66
farewell,adieu,162
farther,plus loin,42
fashion,mode,122
fatal,fatal,43
father,père,1097
fault,faute,273
favour,favoriser,201
fearful,craintif,99
fears,peurs,70
feast,le banquet,126
feeble,faible,27
fellow,compagnon,415
fenton,Fenton,0
ferdinand,Ferdinand,0
fetch,chercher,107
field,champ,233
fiend,démon,74
fierce,féroce,41
fiery,ardent,47
fight,bats toi,309
figure,figure,63
finds,trouve,38
finger,doigt,110
first,première,467
flatter,flatter,130
flesh,la chair,137
flies,mouches,60
flight,vol,55
flood,inonder,59
flourish,fleurir,51
flower,fleur,96
flowers,fleurs,0
follow,suivre,480
folly,folie,78
foolish,insensé,101
fools,imbéciles,99
forbear,ancêtre,50
forbid,interdire,79
force,Obliger,264
forces,les forces,0
forest,forêt,78
forget,oublier,106
former,ancien,74
forsooth,en vérité,42
forth,en avant,430
fortune,fortune,383
forward,vers l'avant,99
fought,combattu,67
found,a trouvé,308
fourth,Quatrième,11
frame,Cadre,54
france,France,0
freely,librement,52
french,français,0
fresh,Frais,118
friend,ami,970
frown,froncer les sourcils,84
fruit,fruit,69
further,plus loin,184
gallant,galant,70
garden,jardin,52
gates,portes,103
gaunt,décharné,12
general,général,205
gentle,doux,891
ghost,fantôme,49
given,donné,197
giving,donnant,39
glass,verre,82
glorious,glorieux,43
glory,gloire,87
going,Aller,104
golden,d'or,87
goodness,la bonté,54
gower,gower,0
grace,la grâce,320
grant,subvention,138
grave,la tombe,232
great,génial,1031
green,vert,93
greet,saluer,91
grief,douleur,263
grieve,pleurer,70
gross,brut,93
ground,sol,181
grown,grandi,66
guard,garde,162
guess,devine,52
guilty,coupable,67
habit,habitude,156
hands,mains,340
hanging,pendaison,57
hangs,bloque,34
happiness,bonheur,57
happy,heureux,224
haste,hâte,205
hateful,odieux,39
having,ayant,123
hazard,danger,45
heads,têtes,129
health,santé,107
heard,entendu,354
heart,cœur,1307
heaven,paradis,751
heavy,lourd,166
hector,Hector,0
heels,talons,83
hence,Par conséquent,508
henceforth,désormais,0
hereafter,"ci-après, par la suite",0
herself,se,90
highness,altesse,1
holds,tient,82
hollow,creux,52
honest,honnête,380
horse,cheval,318
hostess,hôtesse,29
hours,heures,138
house,maison,632
hubert,Hubert,0
humble,humble,92
humour,humour,120
hundred,cent,114
husband,mari,363
ignorant,ignorant,48
image,image,73
includes,comprend,2
indeed,En effet,358
infinite,infini,43
innocent,innocent,53
instant,instant,84
intend,avoir l'intention,87
intent,intention,160
issue,problème,128
itself,lui-même,235
jealous,jaloux,93
jewel,bijou,86
judge,juge,107
judgment,jugement,114
julia,Julia,1
justice,Justice,161
keeps,garde,69
kindness,la gentillesse,77
kingdom,Royaume,124
kings,rois,135
knave,fripon,229
kneel,s'agenouiller,75
knees,les genoux,51
knife,couteau,56
knight,Chevalier,169
knock,frappe,94
knowing,connaissance,38
knowledge,connaissance,96
known,connu,228
knows,sait,198
labour,la main d'oeuvre,122
ladies,Dames,107
ladyship,Madame,44
lands,terres,67
large,grand,101
laugh,rire,237
launce,lancer,0
lawful,légitime,75
learn,apprendre,210
learned,appris,0
least,moins,101
leave,laisser,694
leisure,loisir,67
leontes,leontes,0
letter,lettre,374
liberty,liberté,70
library,bibliothèque,3
liege,Liege,144
lieutenant,lieutenant,35
light,lumière,438
limbs,membres,49
little,peu,469
lives,vies,196
living,vivant,122
longer,plus long,106
looks,regards,204
loose,ample,60
lords,seigneurs,456
lordship,seigneurie,0
lorenzo,Lorenzo,0
lovely,charmant,53
lovers,les amoureux,54
loves,aime,218
loving,aimant,121
lucentio,Lucentio,0
machine,machine,3
madness,la démence,67
maiden,jeune fille,76
maids,servantes,46
maintain,maintenir,52
majesty,majesté,69
makes,fait du,312
making,fabrication,57
malice,malice,69
manner,manière,171
march,Mars,112
marcius,Marcius,0
marcus,Marcus,0
margaret,margaret,0
maria,maria,0
mariana,Mariana,0
marriage,mariage,120
marry,marier,188
master,Maître,617
match,rencontre,114
matter,matière,378
meaning,sens,59
means,veux dire,260
meant,signifiait,63
measure,mesure,95
meeting,réunion,53
membership,adhésion,0
memory,Mémoire,58
merchant,marchande,40
mercy,pitié,175
merit,mérite,79
merry,joyeux,162
messenger,Messager,76
midnight,minuit,41
might,pourrait,624
mighty,puissant,0
milan,Milan,0
minds,esprits,55
minister,ministre,62
miranda,Miranda,0
mirth,gaieté,52
mischief,sottises,0
misery,misère,37
mistake,erreur,46
mistress,maîtresse,263
modest,modeste,97
money,argent,185
monster,monstre,86
month,mois,96
morning,Matin,132
morrow,demain,346
mortal,mortel,143
mother,mère,430
motion,mouvement,112
mouth,bouche,199
mowbray,mowbray,0
murder,meurtre,115
murther,aller plus loin,65
music,la musique,192
myself,moi même,504
naked,nu,52
names,des noms,50
native,originaire de,45
natural,Naturel,104
nature,la nature,356
needs,Besoins,142
neighbour,voisine,82
neither,ni,0
never,jamais,895
niece,nièce,62
night,nuit,969
noble,noble,692
noise,bruit,112
nothing,rien,526
nought,néant,54
number,nombre,99
nurse,infirmière,81
oaths,serments,85
obedience,obéissance,56
oberon,Oberon,0
object,objet,54
occasion,occasion,89
offence,infraction,119
offend,offenser,143
offer,offre,164
office,Bureau,242
often,souvent,135
oliver,oliver,0
opinion,opinion,94
order,ordre,138
orlando,orlando,0
other,autre,1066
others,autres,0
ourselves,nous-mêmes,178
outward,vers l'extérieur,56
oxford,Oxford,0
padua,Padoue,0
pains,des douleurs,91
painted,peint,52
painter,peintre,10
palace,palais,158
pandarus,Pandarus,0
paper,papier,121
pardon,pardon,255
paris,Paris,32
parolles,parolles,0
parted,séparé,46
particular,particulier,69
partly,partiellement,33
parts,les pièces,108
party,fête,50
passage,passage,44
passion,la passion,144
patience,la patience,176
patient,patient,127
paulina,paulina,0
peace,paix,402
pedro,pedro,0
people,gens,224
perceive,apercevoir,102
percy,Percy,0
perfect,parfait,114
perhaps,peut-être,32
peril,péril,65
permission,autorisation,4
person,la personne,190
personal,personnel,0
phebe,phebe,0
philip,Philippe,0
picture,image,51
piece,pièce,139
pistol,pistolet,5
place,endroit,514
plague,peste,103
plain,plaine,226
plead,plaider,52
please,S'il vous plaît,377
pleasure,plaisir,214
pluck,cueillir,136
poins,poins,0
point,point,238
poison,poison,117
policy,politique,45
polixenes,polixènes,0
pompey,pompey,0
porter,porter,649
possible,possible,97
posthumus,posthume,0
pound,livre,112
power,Puissance,370
practice,entraine toi,56
praise,louange,224
prayers,prières,84
precious,précieux,76
prepare,préparer,63
presence,présence,104
present,présent,408
pretty,jolie,106
pride,fierté,106
priest,prêtre,77
prince,prince,285
prison,prison,253
private,privé,74
prize,prix,49
proceed,procéder,105
proclaim,proclamer,0
profit,profit,63
prohibited,interdit,0
project,projet,15
prologue,prologue,21
promise,promettre,154
proof,preuve,116
proper,correct,95
protector,protecteur,5
protest,manifestation,66
proud,fier,226
prove,prouver,351
provided,à condition de,33
public,Publique,66
purpose,objectif,255
purse,bourse,105
quality,qualité,56
quarrel,querelle,120
queen,reine,192
question,question,168
quick,rapide,209
quiet,silencieux,105
quite,assez,102
quoth,quoth,56
raise,élever,73
ransom,une rançon,62
rascal,coquin,88
rather,plutôt,290
readable,lisible,2
ready,prêt,136
realm,domaine,60
reason,raison,477
receive,recevoir,123
regard,qui concerne,263
reign,règne,272
reignier,règne,0
remain,rester,111
remedy,remède,59
remember,rappelles toi,158
render,rendre,55
repair,réparation,42
repent,se repentir,68
report,rapport,179
reputation,réputation,43
request,demande,85
respect,le respect,180
return,revenir,251
revenge,vengeance,162
reverence,révérence,44
revolt,révolte,61
right,droite,528
rivers,rivières,12
rogue,coquin,103
rotten,pourri,38
rough,rugueux,423
round,rond,96
royal,Royal,245
sacred,sacré,46
safety,sécurité,74
saint,Saint,43
salerio,salerio,0
satisfied,satisfait,53
saying,en disant,57
scarce,rare,83
scene,scène,42
scorn,mépris,137
search,chercher,53
season,saison,66
second,seconde,111
secret,secret,107
seeing,voyant,45
senate,sénat,0
senator,sénateur,34
sense,sens,177
sentence,phrase,45
servant,serviteur,249
serve,servir,333
service,un service,261
seven,Sept,82
several,nombreuses,105
shadow,ombre,101
shake,secouer,110
shall,doit,3137
shame,la honte,344
shape,forme,128
sharp,tranchant,85
shepherd,berger,80
shine,éclat,98
shore,rive,77
short,court,162
shortly,prochainement,0
should,devrait,1543
shows,montre,95
sickness,maladie,53
sight,vue,238
silence,silence,63
silver,argent,65
simple,Facile,82
since,depuis,298
single,Célibataire,62
sirrah,sirrah,77
sister,sœur,500
skill,compétence,61
slain,tué,124
slander,calomnie,86
slave,esclave,168
sleep,sommeil,336
slender,mince,12
small,petit,105
smell,odeur,65
smile,sourire,113
soldier,soldat,315
solemn,solennel,66
somerset,somerset,0
something,quelque chose,151
sometime,parfois,105
sooner,plus tôt,57
soothsayer,devin,3
sorrow,chagrin,235
sorry,Pardon,87
sought,recherché,37
souls,âmes,110
sound,du son,280
sovereign,souverain,0
spare,de rechange,54
speak,parler,1190
speaks,parle,0
special,spécial,63
speech,discours,162
speed,la vitesse,157
spend,dépenser,75
spirit,esprit,385
spite,dépit,78
spoke,parlait,206
sport,sport,175
spring,printemps,83
staff,Personnel,140
stain,tache,108
stand,supporter,794
stars,étoiles,68
state,Etat,341
steal,voler,116
steel,acier,76
steward,intendant,25
still,encore,517
stomach,estomac,61
stone,calcul,141
stood,se tenait,96
store,boutique,71
storm,orage,73
story,récit,92
straight,tout droit,153
strange,étrange,278
street,rue,129
strength,force,136
strike,la grève,147
stroke,accident vasculaire cérébral,64
strong,fort,268
struck,frappé,81
study,étude,60
stuff,des trucs,66
subject,matière,167
substance,substance,43
success,Succès,81
sudden,soudain,125
suddenly,tout à coup,0
suffer,souffrir,156
suffolk,suffolk,0
summer,été,98
supper,souper,63
surely,sûrement,35
surrey,Surrey,0
suspect,suspect,48
swear,jurer,323
sweat,transpiration,49
sweet,sucré,762
swift,rapide,93
sword,épée,418
swore,juré,59
sworn,juré,194
syracuse,Syracuse,0
table,table,226
tailor,tailleur,42
taken,pris,90
talbot,talbot,0
tarry,goudronneux,40
taste,goût,93
taught,enseigné,53
teach,enseigner,119
tears,larmes,274
tedious,fastidieux,50
teeth,les dents,56
tells,raconte,43
tempest,tempête,48
tender,soumissionner,172
terms,termes,74
thank,remercier,439
their,leur,1870
themselves,se,158
there,Là,2024
therefore,par conséquent,0
therein,la bride,0
these,celles-ci,1081
thief,voleur,67
thing,chose,854
think,pense,1248
third,troisième,74
thomas,Thomas,0
those,ceux,464
though,bien que,1103
thought,pensée,0
thrive,prospérer,59
throat,gorge,78
throne,trône,75
through,par,0
throw,jeter,183
thrust,poussée,58
thunder,tonnerre,74
times,fois,249
title,Titre,119
together,ensemble,265
tongue,langue,489
tonight,ce soir,0
touch,toucher,200
toward,vers,156
tower,la tour,18
train,train,300
traitor,traitre,195
tread,bande de roulement,55
treason,trahison,0
treasure,Trésor,58
trial,procès,65
tribunes,tribunes,27
trick,tour,94
triumph,triomphe,74
trouble,difficulté,125
truly,vraiment,122
trumpet,trompette,176
trust,confiance,221
truth,vérité,334
turns,se tourne,51
twice,deux fois,61
tyrant,tyran,66
ulysses,Ulysse,0
uncle,oncle,232
under,sous,502
understand,comprendre,0
undertake,entreprendre,0
undone,défait,49
unhappy,malheureux,0
unknown,inconnue,0
unless,sauf si,66
until,jusqu'à,42
unworthy,indigne,31
utter,prononcer,117
valentine,Valentin,0
valiant,vaillant,153
valour,valeur,98
vantage,avantage,178
vengeance,vengeance,209
venice,venise,0
version,version,8
victory,la victoire,46
villain,scélérat,320
viola,alto,16
violent,violent,46
virtue,vertu,226
visit,visite,92
voice,voix,209
walls,des murs,84
warlike,guerrier,57
warrant,mandat,189
waste,déchets,72
watch,regarder,171
water,eau,190
wealth,richesse,113
weapons,armes,38
weary,se lasser,82
weeds,mauvaises herbes,42
weeping,larmes,57
weight,poids,63
welcome,Bienvenue,273
wench,jeune fille,84
whence,d'où,0
where,où,993
wherein,où,0
whether,qu'il s'agisse,56
which,lequel,1402
while,tandis que,214
whither,où,38
whole,entier,160
whore,putain,96
whose,dont,382
widow,veuve,88
willing,prêt,89
window,la fenêtre,67
wings,ailes,55
winter,hiver,78
wisdom,sagesse,100
witch,sorcière,79
withal,avec,146
within,dans,339
without,sans pour autant,281
witness,témoin,121
wives,épouses,60
wolsey,Wolsey,0
woman,femme,485
wonder,merveille,156
works,travaux,24
world,monde,688
worse,pire,163
worship,culte,130
worth,vaut,503
would,aurait,2106
wound,blessure,199
wounded,blessés,0
wrath,colère,71
wretch,misérable,146
write,écrire,138
written,écrit,33
wrong,faux,363
wrought,forgé,0
yield,rendement,180
yonder,là-bas,59
young,Jeune,461
yours,le tiens,498
yourself,toi même,0
youth,jeunesse,309
